1	Sembungan	B-LOC	PROPN	_	_	4	nsubj	_
2	adalah	O	VERB	_	_	4	cop	_	
3	sebuah	O	DET	_	_	4	det	_	
4	desa	O	NOUN	_	_	0	root	_	
5	yang	O	PRON	_	_	6	nsubjpass	_	
6	terletak	O	VERB	_	_	4	acl	_	
7	di	O	ADP	_	_	8	case	_	O
8	kecamatan	B-LOC	NOUN	_	_	6	nmod	_	
9	Kejajar	I-LOC	PROPN	_	_	8	name	_	
10	,	O	PUNCT	_	_	8	punct	_	
11	kabupaten	B-LOC	NOUN	_	_	8	appos	_	
12	Wonosobo	I-LOC	PROPN	_	_	11	name	_	
13	,	O	PUNCT	_	_	11	punct	_	
14	Jawa	B-LOC	PROPN	_	_	11	appos	_	
15	Tengah	I-LOC	PROPN	_	_	14	amod	_	
16	,	O	PUNCT	_	_	14	punct	_	
17	Indonesia	B-LOC	PROPN	_	_	14	appos	_	
18	.	O	PUNCT	_	_	4	punct	_	

1	Dalam	_	ADP	_	_	2	case	_	_
2	berita	_	NOUN	_	_	9	nmod	_	_
3	Cina	B-LOC	PROPN	_	_	2	name	_	_
4	yang	_	PRON	_	_	5	nsubj	_	_
5	berjudul	_	VERB	_	_	2	acl	_	_
6	Sung	B-PER	PROPN	_	_	5	dobj	_	_
7	Hui	I-PER	PROPN	_	_	6	name	_	_
8	Yao	I-PER	PROPN	_	_	7	name	_	_
9	disebutkan	_	VERB	_	_	0	root	_	_
10	bahwa	_	SCONJ	_	_	19	mark	_	_
11	Kerajaan	B-ORG	NOUN	_	_	19	nsubj	_	_
12	San	I-ORG	PROPN	_	_	11	det	_	_
13	-	I-ORG	PUNCT	_	_	12	punct	_	_
14	fo	I-ORG	PROPN	_	_	12	name	_	_
15	-	I-ORG	PUNCT	_	_	14	punct	_	_
16	tsi	I-ORG	PROPN	_	_	14	name	_	_
17	tahun	_	NOUN	_	_	19	nmod	_	_
18	1082	B-TIME	NUM	_	_	17	nummod	_	_
19	mengirim	_	VERB	_	_	9	xcomp	_	_
20	duta	B-MISC	NOUN	_	_	19	dobj	_	_
21	besar	I-MISC	ADJ	_	_	20	amod	_	_
22	ke	_	ADP	_	_	23	case	_	_
23	Cina	B-LOC	PROPN	_	_	19	nmod	_	_
24	yang	_	PRON	_	_	28	nsubj	_	_
25	saat	_	NOUN	_	_	28	nmod	_	_
26	itu	_	DET	_	_	25	det	_	_
27	di	_	ADP	_	_	28	case	_	_
28	bawah	_	NOUN	_	_	19	nmod	_	_
29	pemerintahan	B-ORG	NOUN	_	_	28	nmod	_	_
30	Kaisar	I-ORG	PROPN	_	_	29	det	_	_
31	Yuan	B-PER	PROPN	_	_	30	name	_	_
32	Fong	I-PER	PROPN	_	_	31	name	_	_
33	.	_	PUNCT	_	_	9	punct	_	_
34	Duta	B-ORG	NOUN	_	_	37	nsubj	_	_
35	besar	I-ORG	ADJ	_	_	34	amod	_	_
36	tersebut	_	DET	_	_	34	det	_	_
37	menyampaikan	_	VERB	_	_	9	dep	_	_
38	surat	_	NOUN	_	_	37	dobj	_	_
39	dari	_	ADP	_	_	40	case	_	_
40	raja	B-PER	NOUN	_	_	38	nmod	_	_
41	Kien	I-PER	PROPN	_	_	40	name	_	_
42	-	_	PUNCT	_	_	41	punct	_	_
43	pi	_	PROPN	_	_	41	name	_	_
44	bawahan	_	NOUN	_	_	40	appos	_	_
45	San	B-PER	PROPN	_	_	44	name	_	_
46	-	I-PER	PUNCT	_	_	45	punct	_	_
47	fo	I-PER	PROPN	_	_	45	name	_	_
48	-	I-PER	PUNCT	_	_	47	punct	_	_
49	tsi	I-PER	PROPN	_	_	47	name	_	_
50	,	_	PUNCT	_	_	38	punct	_	_
51	dan	_	CONJ	_	_	38	cc	_	_
52	surat	_	NOUN	_	_	38	conj	_	_
53	dari	_	ADP	_	_	54	case	_	_
54	putri	_	PROPN	_	_	52	nmod	_	_
55	raja	_	NOUN	_	_	54	det	_	_
56	yang	_	PRON	_	_	57	nsubjpass	_	_
57	diserahi	_	VERB	_	_	52	acl	_	_
58	urusan	_	NOUN	_	_	57	dobj	_	_
59	negara	_	NOUN	_	_	58	det	_	_
60	San	B-PER	PROPN	_	_	58	det	_	_
61	-	I-PER	PUNCT	_	_	60	punct	_	_
62	fo	I-PER	PROPN	_	_	60	name	_	_
